name,imdb,rt,bm,imdb_rating,release_date,budget,critic_score_rt,audience_score_rt,theaters,studio,year,opening_weekend_usa,gross_usa,gross_worldwide
Ant-Man,https://www.imdb.com/title/tt0478970/,https://www.rottentomatoes.com/m/antman,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_shs_sd,7.3, 17 July 2015 (USA),1.30E+08,83%,86%,3868,Marvel,2015,57225526,180202163,519311965
Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,https://www.rottentomatoes.com/m/ant_man_and_the_wasp,https://www.boxofficemojo.com/release/rl2088535553/,7.1, 6 July 2018 (USA),1.62E+08,88%,76%,4206,Marvel,2018,75812205,216648740,622674139
Aquaman,https://www.imdb.com/title/tt1477834/,https://www.rottentomatoes.com/m/aquaman_2018,https://www.boxofficemojo.com/movies/?id=dcfilm0617.htm,7, 21 December 2018 (USA),1.60E+08,65%,75%,4184,DC,2018,67873522,335061807,1148161807
Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/,https://www.rottentomatoes.com/m/marvels_the_avengers_2,https://www.boxofficemojo.com/release/rl675644929/,7.3, 1 May 2015 (USA),2.50E+08,75%,83%,4276,Marvel,2015,191271109,459005868,1402805868
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,https://www.rottentomatoes.com/m/avengers_endgame,https://www.boxofficemojo.com/movies/?id=marvel2019.htm,8.5, 26 April 2019 (USA),3.56E+08,94%,90%,4662,Marvel,2019,357115007,858373000,2797800564
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,https://www.rottentomatoes.com/m/avengers_infinity_war,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_at_a,8.5, 27 April 2018 (USA),3.21E+08,85%,91%,4474,Marvel,2018,257698183,678815482,2048359754
Batman,https://www.imdb.com/title/tt0096895/,https://www.rottentomatoes.com/m/1001781-batman,https://www.boxofficemojo.com/movies/?id=batman.htm,7.5, 23 June 1989 (USA),3.50E+07,72%,84%,2201,DC,1989,40489746,251348343,411556825
Batman & Robin,https://www.imdb.com/title/tt0118688/,https://www.rottentomatoes.com/m/1077027_batman_and_robin,https://www.boxofficemojo.com/release/rl3561326081/,3.7, 20 June 1997 (USA),1.25E+08,11%,16%,2942,DC,1997,42872605,107353792,238235915
Batman Begins,https://www.imdb.com/title/tt0372784/,https://www.rottentomatoes.com/m/batman_begins,https://www.boxofficemojo.com/release/rl3510994433/,8.2, 15 June 2005 (USA),1.50E+08,84%,94%,3858,DC,2005,48745440,206852432,373413297
Batman Forever,https://www.imdb.com/title/tt0112462/,https://www.rottentomatoes.com/m/batman_forever,https://www.boxofficemojo.com/movies/?id=batmanforever.htm,5.4, 16 June 1995 (USA),1.00E+08,39%,32%,2893,DC,1995,52784433,184069126,336567531
Batman Returns,https://www.imdb.com/title/tt0103776/,https://www.rottentomatoes.com/m/batman_returns,https://www.boxofficemojo.com/movies/?id=batmanreturns.htm,7, 19 June 1992 (USA),8.00E+07,79%,73%,2644,DC,1992,16071282,162902340,266903053
Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,https://www.boxofficemojo.com/movies/?id=superman2015.htm,6.5, 25 March 2016 (USA),2.50E+08,28%,63%,4256,DC,2016,166007347,330360194,873634919
Black Panther,https://www.imdb.com/title/tt1825683/,https://www.rottentomatoes.com/m/black_panther_2018/,https://www.boxofficemojo.com/release/rl2992866817,7.3, 16 February 2018 (USA),2.00E+08,97%,79%,4084,Marvel,2018,202003951,700059566,1346913161
Blade,https://www.imdb.com/title/tt0120611/,https://www.rottentomatoes.com/m/1083484-blade,https://www.boxofficemojo.com/movies/?id=blade.htm,7.1, 21 August 1998 (USA),4.50E+07,54%,78%,2389,Marvel,1998,17073856,70087718,131183530
Blade II,https://www.imdb.com/title/tt0187738/,https://www.rottentomatoes.com/m/blade_2_bloodhunt,https://www.boxofficemojo.com/movies/?id=blade2.htm,6.7, 22 March 2002 (USA),5.40E+07,57%,68%,2707,Marvel,2002,32528016,82348319,155010032
Blade: Trinity,https://www.imdb.com/title/tt0359013/,https://www.rottentomatoes.com/m/blade_trinity,https://www.boxofficemojo.com/movies/?id=blade3.htm,5.9, 8 December 2004 (USA),6.50E+07,26%,59%,2912,Marvel,2004,16100000,52411906,129241130
Captain America,https://www.imdb.com/title/tt0103923/,https://www.rottentomatoes.com/m/captain-america1990,https://www.boxofficemojo.com/release/rl1900578305/,3.2, 26 July 1991 (USA),1.00E+07,7%,16%,3715,Marvel,1991,NA,NA,NA
Captain America: Civil War,https://www.imdb.com/title/tt3498820/,https://www.rottentomatoes.com/m/captain_america_civil_war,https://www.boxofficemojo.com/release/rl2563409665/weekend/,7.8, 6 May 2016 (USA),2.50E+08,91%,89%,1990,Marvel,2016,179139142,408084349,1153296293
Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,https://www.boxofficemojo.com/movies/?id=captainamerica.htm,6.9, 22 July 2011 (USA),1.40E+08,80%,74%,3715,Marvel,2011,65058524,176654505,370569774
Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014,https://www.boxofficemojo.com/release/rl3194193409/,7.7, 4 April 2014 (USA),1.70E+08,90%,92%,3938,Marvel,2014,95023721,259766572,714421503
Captain Marvel,https://www.imdb.com/title/tt4154664/,https://www.rottentomatoes.com/m/captain_marvel,https://www.boxofficemojo.com/movies/?id=marvel2018a.htm,6.9, 8 March 2019 (USA),1.75E+08,78%,51%,4310,Marvel,2019,153433423,426829839,1128274794
Catwoman,https://www.imdb.com/title/tt0327554/,https://www.rottentomatoes.com/m/catwoman,https://www.boxofficemojo.com/movies/?id=catwoman.htm,3.3, 23 July 2004 (USA),1.00E+08,9%,18%,3117,DC,2004,16728411,40202379,82102379
Constantine,https://www.imdb.com/title/tt0360486/,https://www.rottentomatoes.com/m/constantine,https://www.boxofficemojo.com/release/rl3511322113/,7, 18 February 2005 (USA),1.00E+08,46%,72%,3006,DC,2005,29769098,75976178,230884728
Daredevil,https://www.imdb.com/title/tt0287978/,https://www.rottentomatoes.com/m/daredevil,https://www.boxofficemojo.com/release/rl424445441/,5.3, 14 February 2003 (USA),7.80E+07,44%,35%,3474,Marvel,2003,40310419,102543518,179179718
Dark Phoenix,https://www.imdb.com/title/tt6565702/,https://www.rottentomatoes.com/m/dark_phoenix/,https://www.boxofficemojo.com/movies/?id=foxmarvel18b.htm,5.8, 7 June 2019 (USA),2.00E+08,23%,64%,3721,Marvel,2019,32828348,65845974,252442974
Deadpool,https://www.imdb.com/title/tt1431045/,https://www.rottentomatoes.com/m/deadpool/,https://www.boxofficemojo.com/release/rl2588706305/?ref_=bo_shs_sd,8, 12 February 2016 (USA),5.80E+07,85%,90%,3856,Marvel,2016,132434639,363070709,782612155
Deadpool 2,https://www.imdb.com/title/tt5463162/,https://www.rottentomatoes.com/m/deadpool_2,https://www.boxofficemojo.com/release/rl2488436225/?ref_=bo_sh_tx,7.7, 18 May 2018 (USA),1.10E+08,84%,85%,4349,Marvel,2018,125507153,324591735,785046920
Doctor Strange,https://www.imdb.com/title/tt1211837/,https://www.rottentomatoes.com/m/doctor_strange_2016/,https://www.boxofficemojo.com/release/rl3076752897/,7.5, 4 November 2016 (USA),1.65E+08,89%,86%,3882,Marvel,2016,85058311,232641920,677718395
Elektra,https://www.imdb.com/title/tt0357277/,https://www.rottentomatoes.com/m/elektra,https://www.boxofficemojo.com/release/rl1582401025/,4.7, 14 January 2005 (USA),4.30E+07,11%,29%,3204,Marvel,2005,12804793,24409722,56681566
Fantastic Four,https://www.imdb.com/title/tt1502712/,https://www.rottentomatoes.com/m/fantastic_four_2015,https://www.boxofficemojo.com/release/rl3864036865/,4.3, 7 August 2015 (USA),1.20E+08,9%,18%,4004,Marvel,2015,25685737,56117548,167882881
Fantastic Four: Rise of the Silver Surfer,https://www.imdb.com/title/tt0486576/,https://www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer,https://www.boxofficemojo.com/release/rl3679487489/,5.6, 15 June 2007 (USA),1.30E+08,37%,51%,3963,Marvel,2007,58051684,131921738,289047763
Ghost Rider,https://www.imdb.com/title/tt0259324/,https://www.rottentomatoes.com/m/Ghost_rider,https://www.boxofficemojo.com/release/rl3579151873/,5.2, 16 February 2007 (USA),1.10E+08,26%,48%,3620,Marvel,2007,45388836,115802596,228738393
Ghost Rider: Spirit of Vengeance,https://www.imdb.com/title/tt1071875/,https://www.rottentomatoes.com/m/ghost_rider_spirit_of_vengeance,https://www.boxofficemojo.com/release/rl3595929089/,4.3, 17 February 2012 (USA),5.70E+07,18%,32%,3174,Marvel,2012,22115334,51774002,132563930
Green Lantern,https://www.imdb.com/title/tt1133985/,https://www.rottentomatoes.com/m/770677993,https://www.boxofficemojo.com/movies/?id=greenlantern.htm,5.5, 17 June 2011 (USA),2.00E+08,26%,45%,3816,DC,2011,53174303,116601172,219851172
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,https://www.boxofficemojo.com/release/rl3177416193/,8, 1 August 2014 (USA),1.70E+08,91%,92%,4088,Marvel,2014,94320883,333176600,772776600
Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,https://www.boxofficemojo.com/release/rl2976089601/,7.6, 5 May 2017 (USA),2.00E+08,84%,87%,4347,Marvel,2017,146510104,389813101,863756051
Howard the Duck,https://www.imdb.com/title/tt0091225/,https://www.rottentomatoes.com/m/howard_the_duck,https://www.boxofficemojo.com/movies/?id=howardtheduck.htm,4.7, 1 August 1986 (USA),3.70E+07,15%,38%,1563,Marvel,1986,5070136,16295774,37962774
Hulk,https://www.imdb.com/title/tt0286716/,https://www.rottentomatoes.com/m/hulk,https://www.boxofficemojo.com/movies/?id=hulk.htm,5.6, 20 June 2003 (USA),1.37E+08,62%,29%,3674,Marvel,2003,62128420,132177234,245285165
Iron Man,https://www.imdb.com/title/tt0371746/,https://www.rottentomatoes.com/m/iron_man,https://www.boxofficemojo.com/release/rl1482327553/,7.9, 2 May 2008 (USA),1.40E+08,94%,91%,4154,Marvel,2008,98618668,318604126,585366247
Iron Man 2,https://www.imdb.com/title/tt1228705/,https://www.rottentomatoes.com/m/iron_man_2,https://www.boxofficemojo.com/release/rl1515881985/,7, 7 May 2010 (USA),2.00E+08,73%,71%,4390,Marvel,2010,128122480,312433331,623933331
Iron Man 3,https://www.imdb.com/title/tt1300854/,https://www.rottentomatoes.com/m/iron_man_3,https://www.boxofficemojo.com/movies/?id=ironman3.htm,7.2, 3 May 2013 (USA),2.00E+08,79%,78%,4253,Marvel,2013,174144585,409013994,1214811252
Joker,https://www.imdb.com/title/tt7286456/,https://www.rottentomatoes.com/m/joker_2019,https://www.boxofficemojo.com/movies/?id=joker2019.htm,8.7, 4 October 2019 (USA),5.50E+07,69%,88%,4374,DC,2019,96202337,330523625,1048923625
Jonah Hex,https://www.imdb.com/title/tt1075747/,https://www.rottentomatoes.com/m/jonah_hex,https://www.boxofficemojo.com/movies/?id=jonahhex.htm,4.7, 18 June 2010 (USA),4.70E+07,12%,20%,2825,DC,2010,5379365,10547117,10903312
Justice League,https://www.imdb.com/title/tt0974015/,https://www.rottentomatoes.com/m/justice_league_2017,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm,6.4, 17 November 2017 (USA),3.00E+08,40%,72%,4051,DC,2017,93842239,229024295,657924295
Logan,https://www.imdb.com/title/tt3315342/,https://www.rottentomatoes.com/m/logan_2017,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm,8.1, 3 March 2017 (USA),9.70E+07,93%,90%,4071,Marvel,2017,88411916,226277068,619021436
Man of Steel,https://www.imdb.com/title/tt0770828/,https://www.rottentomatoes.com/m/superman_man_of_steel,https://www.boxofficemojo.com/release/rl4034037249/?ref_=bo_shs_sd,7.1, 14 June 2013 (USA),2.25E+08,56%,75%,4207,DC,2013,116619362,291045518,668045518
Punisher: War Zone,https://www.imdb.com/title/tt0450314/,https://www.rottentomatoes.com/m/punisher_war_zone,https://www.boxofficemojo.com/movies/?id=punisher2.htm,5.9, 5 December 2008 (USA),3.50E+07,29%,42%,2508,Marvel,2008,4271451,8050977,10103323
Shazam!,https://www.imdb.com/title/tt0448115/,https://www.rottentomatoes.com/m/shazam,https://www.boxofficemojo.com/movies/?id=untitledmovieiv.htm,7.1, 5 April 2019 (USA),1.00E+08,90%,83%,4306,DC,2019,53505326,140371656,364571656
Spider-Man,https://www.imdb.com/title/tt0145487/,https://www.rottentomatoes.com/m/spiderman,https://www.boxofficemojo.com/movies/?id=spiderman.htm,7.3, 3 May 2002 (USA),1.39E+08,90%,67%,3876,Marvel,2002,114844116,407022860,825025036
Spider-Man 2,https://www.imdb.com/title/tt0316654/,https://www.rottentomatoes.com/m/spiderman_2,https://www.boxofficemojo.com/movies/?id=spiderman2.htm,7.3, 30 June 2004 (USA),2.00E+08,93%,82%,4166,Marvel,2004,88156227,373585825,783766341
Spider-Man 3,https://www.imdb.com/title/tt0413300/,https://www.rottentomatoes.com/m/spiderman_3,https://www.boxofficemojo.com/movies/?id=spiderman3.htm,6.2, 4 May 2007 (USA),2.58E+08,63%,51%,4324,Marvel,2007,151116516,336530303,890871626
Spider-Man: Far From Home,https://www.imdb.com/title/tt6320628/,https://www.rottentomatoes.com/m/spider_man_far_from_home,https://www.boxofficemojo.com/movies/?id=spidermanhomecoming2.htm,7.6, 2 July 2019 (USA),1.60E+08,90%,95%,4634,Marvel,2019,92579212,390532085,1131927996
Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,https://www.rottentomatoes.com/m/spider_man_homecoming,https://www.boxofficemojo.com/release/rl863208961/,7.4, 7 July 2017 (USA),1.75E+08,92%,87%,4348,Marvel,2017,117027503,334201140,880166924
Stamp Day for Superman,https://www.imdb.com/title/tt0046360/,,,5.9, 1954 (USA),NA,,,NA,DC,1954,NA,NA,NA
Steel,https://www.imdb.com/title/tt0120207/,https://www.rottentomatoes.com/m/1078035-steel,https://www.boxofficemojo.com/movies/?id=steel.htm,2.8, 15 August 1997 (USA),1.60E+07,12%,16%,1260,DC,1997,870068,1710972,1710972
Suicide Squad,https://www.imdb.com/title/tt1386697/,https://www.rottentomatoes.com/m/suicide_squad_2016,https://www.boxofficemojo.com/release/rl1267172865/,6, 5 August 2016 (USA),1.75E+08,27%,59%,4255,DC,2016,133682248,325100054,746846894
Supergirl,https://www.imdb.com/title/tt0088206/,https://www.rottentomatoes.com/m/supergirl,https://www.boxofficemojo.com/movies/?id=supergirl.htm,4.4, 21 November 1984 (USA),3.50E+07,10%,26%,1620,DC,1984,5738249,14296438,14296438
Superman,https://www.imdb.com/title/tt0078346/,https://www.rottentomatoes.com/m/superman_the_movie,https://www.boxofficemojo.com/release/rl4050814465/weekend/,7.3, 15 December 1978 (USA),5.50E+07,94%,86%,817,DC,1978,7465343,134451603,300451603
Superman II,https://www.imdb.com/title/tt0081573/,https://www.rottentomatoes.com/m/superman_ii,https://www.boxofficemojo.com/movies/?id=superman2.htm,6.8, 19 June 1981 (USA),5.40E+07,86%,76%,1878,DC,1981,14100523,108185706,108185706
Superman III,https://www.imdb.com/title/tt0086393/,https://www.rottentomatoes.com/m/superman_iii,https://www.boxofficemojo.com/movies/?id=superman3.htm,5, 17 June 1983 (USA),3.90E+07,26%,23%,1763,DC,1983,13352357,59950623,59950623
Superman IV: The Quest for Peace,https://www.imdb.com/title/tt0094074/,https://www.rottentomatoes.com/m/superman_iv_the_quest_for_peace,https://www.boxofficemojo.com/movies/?id=superman4.htm,3.7, 24 July 1987 (USA),1.70E+07,11%,16%,1511,DC,1987,5683122,15681020,15681020
Superman Returns,https://www.imdb.com/title/tt0348150/,https://www.rottentomatoes.com/m/superman_returns,https://www.boxofficemojo.com/movies/?id=superman06.htm,6, 28 June 2006 (USA),2.70E+08,75%,61%,4065,DC,2006,52535096,200081192,391081192
Superman and the Mole Men,https://www.imdb.com/title/tt0506643/,https://www.rottentomatoes.com/m/superman_and_the_molemen,,7.9, 10 August 1953 (USA),NA,,,NA,DC,1953,NA,NA,NA
Swamp Thing,https://www.imdb.com/title/tt0084745/,https://www.rottentomatoes.com/m/swamp_thing,https://www.boxofficemojo.com/movies/?id=swampthing.htm,5.4, 19 February 1982 (USA),3.00E+06,67%,34%,NA,DC,1982,NA,NA,NA
The Amazing Spider-Man,https://www.imdb.com/title/tt0948470/,https://www.rottentomatoes.com/m/the_amazing_spider_man,https://www.boxofficemojo.com/movies/?id=spiderman4.htm,6.9, 3 July 2012 (USA),2.30E+08,72%,77%,4318,Marvel,2012,62004688,262030663,757930663
The Amazing Spider-Man 2,https://www.imdb.com/title/tt1872181/,https://www.rottentomatoes.com/m/the_amazing_spider_man_2,https://www.boxofficemojo.com/movies/?id=amazingspiderman2.htm,6.6, 2 May 2014 (USA),2.00E+08,52%,64%,4324,Marvel,2014,91608337,202853933,708982323
The Avengers,https://www.imdb.com/title/tt0848228/,https://www.rottentomatoes.com/m/marvels_the_avengers,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_shs_sd,8, 4 May 2012 (USA),2.20E+08,91%,91%,4349,Marvel,2012,207438708,623357910,1518812988
The Dark Knight,https://www.imdb.com/title/tt0468569/,https://www.rottentomatoes.com/m/the_dark_knight,https://www.boxofficemojo.com/release/rl3729098241/,9, 18 July 2008 (USA),1.85E+08,94%,94%,4366,DC,2008,158411483,535234033,1004934033
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,https://www.rottentomatoes.com/m/the_dark_knight_rises,https://www.boxofficemojo.com/release/rl3745875457/?ref_=bo_at_a,8.4, 20 July 2012 (USA),2.50E+08,87%,90%,4404,DC,2012,160887295,448139099,1081041287
The Fantastic Four,https://www.imdb.com/title/tt0109770/,https://www.rottentomatoes.com/m/10005582-fantastic_four,,3.8, 31 May 1994 (USA),1.00E+06,33%,27%,NA,Marvel,1994,NA,NA,NA
The Incredible Hulk,https://www.imdb.com/title/tt0800080/,https://www.rottentomatoes.com/m/the_incredible_hulk,https://www.boxofficemojo.com/release/rl2791015937/,6.7, 13 June 2008 (USA),1.50E+08,67%,70%,3508,Marvel,2008,55414050,134806913,263427551
The Punisher,https://www.imdb.com/title/tt0330793/,https://www.rottentomatoes.com/m/1131721_punisher,https://www.boxofficemojo.com/release/rl1768588801/,6.4, 16 April 2004 (USA),3.30E+07,29%,63%,2649,Marvel,2004,1.40E+07,33810189,54700105
The Return of Swamp Thing,https://www.imdb.com/title/tt0098193/,https://www.rottentomatoes.com/m/return_of_swamp_thing,https://www.boxofficemojo.com/movies/?id=swampthing2.htm,4.6, 12 May 1989 (USA),4.00E+06,44%,28%,NA,DC,1989,NA,192816,192816
The Wolverine,https://www.imdb.com/title/tt1430132/,https://www.rottentomatoes.com/m/the_wolverine_2012,https://www.boxofficemojo.com/movies/?id=wolverine2.htm,6.7, 26 July 2013 (USA),1.20E+08,71%,69%,3924,Marvel,2013,53113752,132556852,414828246
Thor,https://www.imdb.com/title/tt0800369/,https://www.rottentomatoes.com/m/thor,https://www.boxofficemojo.com/movies/?id=thor.htm,7, 6 May 2011 (USA),1.50E+08,78%,76%,3963,Marvel,2011,65723338,181030624,449326618
Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,https://www.rottentomatoes.com/m/thor_ragnarok_2017/,https://www.boxofficemojo.com/release/rl2959312385/,7.9, 3 November 2017 (USA),1.80E+08,93%,87%,4080,Marvel,2017,122744989,315058289,853977126
Thor: The Dark World,https://www.imdb.com/title/tt1981115/,https://www.rottentomatoes.com/m/thor_the_dark_world,https://www.boxofficemojo.com/release/rl3111421441/,6.9, 8 November 2013 (USA),1.70E+08,67%,76%,3841,Marvel,2013,85737841,206362140,644783140
Venom,https://www.imdb.com/title/tt1270797/,https://www.rottentomatoes.com/m/venom_2018,https://www.boxofficemojo.com/movies/?id=venom2018.htm,6.7, 5 October 2018 (USA),1.00E+08,29%,80%,4250,Marvel,2018,80255756,213515506,856085151
Watchmen,https://www.imdb.com/title/tt0409459/,https://www.rottentomatoes.com/m/watchmen,https://www.boxofficemojo.com/movies/?id=watchmen.htm,7.6, 6 March 2009 (USA),1.30E+08,64%,71%,3611,DC,2009,55214334,107509799,185258983
Wonder Woman,https://www.imdb.com/title/tt0451279/,https://www.rottentomatoes.com/m/wonder_woman_2017,https://www.boxofficemojo.com/release/rl578455041/,7.4, 2 June 2017 (USA),1.49E+08,93%,88%,4165,DC,2017,103251471,412563408,821847012
X-Men,https://www.imdb.com/title/tt0120903/,https://www.rottentomatoes.com/m/xmen,https://www.boxofficemojo.com/movies/?id=xmen.htm,7.4, 14 July 2000 (USA),7.50E+07,81%,83%,3112,Marvel,2000,54471475,157299718,296339528
X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,https://www.rottentomatoes.com/m/wolverine,https://www.boxofficemojo.com/movies/?id=wolverine.htm,6.6, 1 May 2009 (USA),1.50E+08,37%,58%,4102,Marvel,2009,85058003,179883157,373062864
X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/,https://www.rottentomatoes.com/m/x_men_apocalypse,https://www.boxofficemojo.com/movies/?id=x-men2016.htm,6.9, 27 May 2016 (USA),1.78E+08,47%,65%,4153,Marvel,2016,65769562,155442489,543934105
X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/,https://www.rottentomatoes.com/m/x_men_days_of_future_past,https://www.boxofficemojo.com/release/rl1400538625/,8, 23 May 2014 (USA),2.00E+08,90%,91%,4001,Marvel,2014,90823660,233921534,746045700
X-Men: First Class,https://www.imdb.com/title/tt1270798/,https://www.rottentomatoes.com/m/x_men_first_class,https://www.boxofficemojo.com/release/rl1434093057/,7.7, 3 June 2011 (USA),1.60E+08,86%,87%,3692,Marvel,2011,55101604,146408305,352616690
X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/,https://www.rottentomatoes.com/m/x_men_3_the_last_stand,https://www.boxofficemojo.com/release/rl1484424705/,6.7, 26 May 2006 (USA),2.10E+08,57%,61%,3714,Marvel,2006,102750665,234362462,459256008
X2,https://www.imdb.com/title/tt0290334/,https://www.rottentomatoes.com/m/x2_xmen_united,https://www.boxofficemojo.com/movies/?id=x2.htm,7.4, 2 May 2003 (USA),1.10E+08,85%,85%,3749,Marvel,2003,85558731,214949694,407711549