,imdb,rt,bm,imdb_rating,release_date,budget,critic_score_rt,audience_score_rt,theaters,opening_weekend_usa,gross_usa,gross_worldwide
Ant-Man,https://www.imdb.com/title/tt0478970/,https://www.rottentomatoes.com/m/antman,https://www.boxofficemojo.com/release/rl88245761/?ref_=bo_shs_sd,7.3, 17 July 2015 (USA),130000000.0,83%,86%,3868.0,57225526.0,180202163.0,519311965.0
Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,https://www.rottentomatoes.com/m/ant_man_and_the_wasp,https://www.boxofficemojo.com/release/rl2088535553/,7.1, 6 July 2018 (USA),162000000.0,88%,76%,4206.0,75812205.0,216648740.0,622674139.0
Aquaman,https://www.imdb.com/title/tt1477834/,https://www.rottentomatoes.com/m/aquaman_2018,https://www.boxofficemojo.com/movies/?id=dcfilm0617.htm,7.0, 21 December 2018 (USA),160000000.0,66%,75%,4184.0,67873522.0,335061807.0,1148161807.0
Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/,https://www.rottentomatoes.com/m/marvels_the_avengers_2,https://www.boxofficemojo.com/release/rl675644929/,7.3, 1 May 2015 (USA),250000000.0,75%,83%,4276.0,191271109.0,459005868.0,1402805868.0
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,https://www.rottentomatoes.com/m/avengers_endgame,https://www.boxofficemojo.com/movies/?id=marvel2019.htm,8.5, 26 April 2019 (USA),356000000.0,94%,90%,4662.0,357115007.0,858373000.0,2797800564.0
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,https://www.rottentomatoes.com/m/avengers_infinity_war,https://www.boxofficemojo.com/release/rl3043198465/?ref_=bo_at_a,8.5, 27 April 2018 (USA),321000000.0,85%,91%,4474.0,257698183.0,678815482.0,2048359754.0
Batman,https://www.imdb.com/title/tt0096895/,https://www.rottentomatoes.com/m/1001781-batman,https://www.boxofficemojo.com/movies/?id=batman.htm,7.5, 23 June 1989 (USA),35000000.0,72%,84%,2201.0,40489746.0,251348343.0,411556825.0
Batman & Robin,https://www.imdb.com/title/tt0118688/,https://www.rottentomatoes.com/m/1077027_batman_and_robin,https://www.boxofficemojo.com/release/rl3561326081/,3.7, 20 June 1997 (USA),125000000.0,11%,16%,2942.0,42872605.0,107353792.0,238235915.0
Batman Begins,https://www.imdb.com/title/tt0372784/,https://www.rottentomatoes.com/m/batman_begins,https://www.boxofficemojo.com/release/rl3510994433/,8.2, 15 June 2005 (USA),150000000.0,84%,94%,3858.0,48745440.0,206852432.0,373413297.0
Batman Forever,https://www.imdb.com/title/tt0112462/,https://www.rottentomatoes.com/m/batman_forever,https://www.boxofficemojo.com/movies/?id=batmanforever.htm,5.4, 16 June 1995 (USA),100000000.0,39%,32%,2893.0,52784433.0,184069126.0,336567531.0
Batman Returns,https://www.imdb.com/title/tt0103776/,https://www.rottentomatoes.com/m/batman_returns,https://www.boxofficemojo.com/movies/?id=batmanreturns.htm,7.0, 19 June 1992 (USA),80000000.0,79%,73%,2644.0,16071282.0,162902340.0,266903053.0
Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/,https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,https://www.boxofficemojo.com/movies/?id=superman2015.htm,6.5, 25 March 2016 (USA),250000000.0,28%,63%,4256.0,166007347.0,330360194.0,873634919.0
Black Panther,https://www.imdb.com/title/tt1825683/,https://www.rottentomatoes.com/m/black_panther_2018/,https://www.boxofficemojo.com/release/rl2992866817,7.3, 16 February 2018 (USA),200000000.0,97%,79%,4084.0,202003951.0,700059566.0,1346913161.0
Blade,https://www.imdb.com/title/tt0120611/,https://www.rottentomatoes.com/m/1083484-blade,https://www.boxofficemojo.com/movies/?id=blade.htm,7.1, 21 August 1998 (USA),45000000.0,54%,78%,2389.0,17073856.0,70087718.0,131183530.0
Blade II,https://www.imdb.com/title/tt0187738/,https://www.rottentomatoes.com/m/blade_2_bloodhunt,https://www.boxofficemojo.com/movies/?id=blade2.htm,6.7, 22 March 2002 (USA),54000000.0,57%,68%,2707.0,32528016.0,82348319.0,155010032.0
Blade: Trinity,https://www.imdb.com/title/tt0359013/,https://www.rottentomatoes.com/m/blade_trinity,https://www.boxofficemojo.com/movies/?id=blade3.htm,5.9, 8 December 2004 (USA),65000000.0,26%,59%,2912.0,16100000.0,52411906.0,129241130.0
Captain America,https://www.imdb.com/title/tt0103923/,https://www.rottentomatoes.com/m/captain-america1990,https://www.boxofficemojo.com/release/rl1900578305/,3.2, 26 July 1991 (USA),10000000.0,7%,16%,3715.0,,,
Captain America: Civil War,https://www.imdb.com/title/tt3498820/,https://www.rottentomatoes.com/m/captain_america_civil_war,https://www.boxofficemojo.com/release/rl2563409665/weekend/,7.8, 6 May 2016 (USA),250000000.0,91%,89%,1990.0,179139142.0,408084349.0,1153296293.0
Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/,https://www.rottentomatoes.com/m/captain_america_the_first_avenger,https://www.boxofficemojo.com/movies/?id=captainamerica.htm,6.9, 22 July 2011 (USA),140000000.0,80%,74%,3715.0,65058524.0,176654505.0,370569774.0
Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/,https://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014,https://www.boxofficemojo.com/release/rl3194193409/,7.7, 4 April 2014 (USA),170000000.0,90%,92%,3938.0,95023721.0,259766572.0,714421503.0
Captain Marvel,https://www.imdb.com/title/tt4154664/,https://www.rottentomatoes.com/m/captain_marvel,https://www.boxofficemojo.com/movies/?id=marvel2018a.htm,6.9, 8 March 2019 (USA),175000000.0,78%,52%,4310.0,153433423.0,426829839.0,1128274794.0
Catwoman,https://www.imdb.com/title/tt0327554/,https://www.rottentomatoes.com/m/catwoman,https://www.boxofficemojo.com/movies/?id=catwoman.htm,3.3, 23 July 2004 (USA),100000000.0,9%,18%,3117.0,16728411.0,40202379.0,82102379.0
Constantine,https://www.imdb.com/title/tt0360486/,https://www.rottentomatoes.com/m/constantine,https://www.boxofficemojo.com/release/rl3511322113/,7.0, 18 February 2005 (USA),100000000.0,46%,72%,3006.0,29769098.0,75976178.0,230884728.0
Daredevil,https://www.imdb.com/title/tt0287978/,https://www.rottentomatoes.com/m/daredevil,https://www.boxofficemojo.com/release/rl424445441/,5.3, 14 February 2003 (USA),78000000.0,44%,35%,3474.0,40310419.0,102543518.0,179179718.0
Dark Phoenix,https://www.imdb.com/title/tt6565702/,https://www.rottentomatoes.com/m/dark_phoenix/,https://www.boxofficemojo.com/movies/?id=foxmarvel18b.htm,5.8, 7 June 2019 (USA),200000000.0,23%,64%,3721.0,32828348.0,65845974.0,252442974.0
Deadpool,https://www.imdb.com/title/tt1431045/,https://www.rottentomatoes.com/m/deadpool/,https://www.boxofficemojo.com/release/rl2588706305/?ref_=bo_shs_sd,8.0, 12 February 2016 (USA),58000000.0,85%,90%,3856.0,132434639.0,363070709.0,782612155.0
Deadpool 2,https://www.imdb.com/title/tt5463162/,https://www.rottentomatoes.com/m/deadpool_2,https://www.boxofficemojo.com/release/rl2488436225/?ref_=bo_sh_tx,7.7, 18 May 2018 (USA),110000000.0,84%,85%,4349.0,125507153.0,324591735.0,785046920.0
Doctor Strange,https://www.imdb.com/title/tt1211837/,https://www.rottentomatoes.com/m/doctor_strange_2016/,https://www.boxofficemojo.com/release/rl3076752897/,7.5, 4 November 2016 (USA),165000000.0,89%,86%,3882.0,85058311.0,232641920.0,677718395.0
Elektra,https://www.imdb.com/title/tt0357277/,https://www.rottentomatoes.com/m/elektra,https://www.boxofficemojo.com/release/rl1582401025/,4.7, 14 January 2005 (USA),43000000.0,11%,29%,3204.0,12804793.0,24409722.0,56681566.0
Fantastic Four,https://www.imdb.com/title/tt1502712/,https://www.rottentomatoes.com/m/fantastic_four_2015,https://www.boxofficemojo.com/release/rl3864036865/,4.3, 7 August 2015 (USA),120000000.0,9%,18%,4004.0,25685737.0,56117548.0,167882881.0
Fantastic Four: Rise of the Silver Surfer,https://www.imdb.com/title/tt0486576/,https://www.rottentomatoes.com/m/fantastic_four_2_rise_of_the_silver_surfer,https://www.boxofficemojo.com/release/rl3679487489/,5.6, 15 June 2007 (USA),130000000.0,37%,51%,3963.0,58051684.0,131921738.0,289047763.0
Ghost Rider,https://www.imdb.com/title/tt0259324/,https://www.rottentomatoes.com/m/Ghost_rider,https://www.boxofficemojo.com/release/rl3579151873/,5.2, 16 February 2007 (USA),110000000.0,26%,48%,3620.0,45388836.0,115802596.0,228738393.0
Ghost Rider: Spirit of Vengeance,https://www.imdb.com/title/tt1071875/,https://www.rottentomatoes.com/m/ghost_rider_spirit_of_vengeance,https://www.boxofficemojo.com/release/rl3595929089/,4.3, 17 February 2012 (USA),57000000.0,18%,32%,3174.0,22115334.0,51774002.0,132563930.0
Green Lantern,https://www.imdb.com/title/tt1133985/,https://www.rottentomatoes.com/m/770677993,https://www.boxofficemojo.com/movies/?id=greenlantern.htm,5.5, 17 June 2011 (USA),200000000.0,26%,45%,3816.0,53174303.0,116601172.0,219851172.0
Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,https://www.boxofficemojo.com/release/rl3177416193/,8.0, 1 August 2014 (USA),170000000.0,91%,92%,4088.0,94320883.0,333176600.0,772776600.0
Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,https://www.boxofficemojo.com/release/rl2976089601/,7.6, 5 May 2017 (USA),200000000.0,84%,87%,4347.0,146510104.0,389813101.0,863756051.0
Howard the Duck,https://www.imdb.com/title/tt0091225/,https://www.rottentomatoes.com/m/howard_the_duck,https://www.boxofficemojo.com/movies/?id=howardtheduck.htm,4.7, 1 August 1986 (USA),37000000.0,15%,38%,1563.0,5070136.0,16295774.0,37962774.0
Hulk,https://www.imdb.com/title/tt0286716/,https://www.rottentomatoes.com/m/hulk,https://www.boxofficemojo.com/movies/?id=hulk.htm,5.6, 20 June 2003 (USA),137000000.0,62%,29%,3674.0,62128420.0,132177234.0,245285165.0
Iron Man,https://www.imdb.com/title/tt0371746/,https://www.rottentomatoes.com/m/iron_man,https://www.boxofficemojo.com/release/rl1482327553/,7.9, 2 May 2008 (USA),140000000.0,94%,91%,4154.0,98618668.0,318604126.0,585366247.0
Iron Man 2,https://www.imdb.com/title/tt1228705/,https://www.rottentomatoes.com/m/iron_man_2,https://www.boxofficemojo.com/release/rl1515881985/,7.0, 7 May 2010 (USA),200000000.0,73%,71%,4390.0,128122480.0,312433331.0,623933331.0
Iron Man 3,https://www.imdb.com/title/tt1300854/,https://www.rottentomatoes.com/m/iron_man_3,https://www.boxofficemojo.com/movies/?id=ironman3.htm,7.2, 3 May 2013 (USA),200000000.0,79%,78%,4253.0,174144585.0,409013994.0,1214811252.0
Joker,https://www.imdb.com/title/tt7286456/,https://www.rottentomatoes.com/m/joker_2019,https://www.boxofficemojo.com/movies/?id=joker2019.htm,8.8, 4 October 2019 (USA),55000000.0,69%,88%,4374.0,96202337.0,323782942.0,1022682942.0
Jonah Hex,https://www.imdb.com/title/tt1075747/,https://www.rottentomatoes.com/m/jonah_hex,https://www.boxofficemojo.com/movies/?id=jonahhex.htm,4.7, 18 June 2010 (USA),47000000.0,12%,20%,2825.0,5379365.0,10547117.0,10903312.0
Justice League,https://www.imdb.com/title/tt0974015/,https://www.rottentomatoes.com/m/justice_league_2017,https://www.boxofficemojo.com/movies/?id=dcfilm1117.htm,6.4, 17 November 2017 (USA),300000000.0,40%,72%,4051.0,93842239.0,229024295.0,657924295.0
Logan,https://www.imdb.com/title/tt3315342/,https://www.rottentomatoes.com/m/logan_2017,https://www.boxofficemojo.com/movies/?id=wolverine2017.htm,8.1, 3 March 2017 (USA),97000000.0,93%,90%,4071.0,88411916.0,226277068.0,619021436.0
Man of Steel,https://www.imdb.com/title/tt0770828/,https://www.rottentomatoes.com/m/superman_man_of_steel,https://www.boxofficemojo.com/release/rl4034037249/?ref_=bo_shs_sd,7.1, 14 June 2013 (USA),225000000.0,56%,75%,4207.0,116619362.0,291045518.0,668045518.0
Once Upon a Deadpool,https://www.imdb.com/title/tt5463162/,https://www.rottentomatoes.com/m/deadpool_2,https://www.boxofficemojo.com/release/rl4110910977/?ref_=bo_cso_table_7,7.7, 18 May 2018 (USA),110000000.0,84%,85%,1566.0,125507153.0,324591735.0,785046920.0
Punisher: War Zone,https://www.imdb.com/title/tt0450314/,https://www.rottentomatoes.com/m/punisher_war_zone,https://www.boxofficemojo.com/movies/?id=punisher2.htm,5.9, 5 December 2008 (USA),35000000.0,29%,42%,2508.0,4271451.0,8050977.0,10103323.0
Shazam!,https://www.imdb.com/title/tt0448115/,https://www.rottentomatoes.com/m/shazam,https://www.boxofficemojo.com/movies/?id=untitledmovieiv.htm,7.1, 5 April 2019 (USA),100000000.0,90%,83%,4306.0,53505326.0,140371656.0,364571656.0
Spider-Man,https://www.imdb.com/title/tt0145487/,https://www.rottentomatoes.com/m/spiderman,https://www.boxofficemojo.com/movies/?id=spiderman.htm,7.3, 3 May 2002 (USA),139000000.0,90%,67%,3876.0,114844116.0,407022860.0,825025036.0
Spider-Man 2,https://www.imdb.com/title/tt0316654/,https://www.rottentomatoes.com/m/spiderman_2,https://www.boxofficemojo.com/movies/?id=spiderman2.htm,7.3, 30 June 2004 (USA),200000000.0,93%,82%,4166.0,88156227.0,373585825.0,783766341.0
Spider-Man 3,https://www.imdb.com/title/tt0413300/,https://www.rottentomatoes.com/m/spiderman_3,https://www.boxofficemojo.com/movies/?id=spiderman3.htm,6.2, 4 May 2007 (USA),258000000.0,63%,51%,4324.0,151116516.0,336530303.0,890871626.0
Spider-Man: Far From Home,https://www.imdb.com/title/tt6320628/,https://www.rottentomatoes.com/m/spider_man_far_from_home,https://www.boxofficemojo.com/movies/?id=spidermanhomecoming2.htm,7.6, 2 July 2019 (USA),160000000.0,90%,95%,4634.0,92579212.0,390532085.0,1131928519.0
Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,https://www.rottentomatoes.com/m/spider_man_homecoming,https://www.boxofficemojo.com/release/rl863208961/,7.4, 7 July 2017 (USA),175000000.0,92%,87%,4348.0,117027503.0,334201140.0,880166924.0
Stamp Day for Superman,https://www.imdb.com/title/tt0046360/,,,5.9, 1954 (USA),,,,,,,
Steel,https://www.imdb.com/title/tt0120207/,https://www.rottentomatoes.com/m/1078035-steel,https://www.boxofficemojo.com/movies/?id=steel.htm,2.8, 15 August 1997 (USA),16000000.0,12%,16%,1260.0,870068.0,1710972.0,1710972.0
Suicide Squad,https://www.imdb.com/title/tt1386697/,https://www.rottentomatoes.com/m/suicide_squad_2016,https://www.boxofficemojo.com/release/rl1267172865/,6.0, 5 August 2016 (USA),175000000.0,27%,59%,326.0,133682248.0,325100054.0,746846894.0
Supergirl,https://www.imdb.com/title/tt0088206/,https://www.rottentomatoes.com/m/supergirl,https://www.boxofficemojo.com/movies/?id=supergirl.htm,4.4, 21 November 1984 (USA),35000000.0,10%,26%,1620.0,5738249.0,14296438.0,14296438.0
Superman,https://www.imdb.com/title/tt0078346/,https://www.rottentomatoes.com/m/superman_the_movie,https://www.boxofficemojo.com/release/rl4050814465/weekend/,7.3, 15 December 1978 (USA),55000000.0,94%,86%,817.0,7465343.0,134451603.0,300451603.0
Superman II,https://www.imdb.com/title/tt0081573/,https://www.rottentomatoes.com/m/superman_ii,https://www.boxofficemojo.com/movies/?id=superman2.htm,6.8, 19 June 1981 (USA),54000000.0,86%,76%,1878.0,14100523.0,108185706.0,108185706.0
Superman III,https://www.imdb.com/title/tt0086393/,https://www.rottentomatoes.com/m/superman_iii,https://www.boxofficemojo.com/movies/?id=superman3.htm,5.0, 17 June 1983 (USA),39000000.0,26%,23%,1763.0,13352357.0,59950623.0,59950623.0
Superman IV: The Quest for Peace,https://www.imdb.com/title/tt0094074/,https://www.rottentomatoes.com/m/superman_iv_the_quest_for_peace,https://www.boxofficemojo.com/movies/?id=superman4.htm,3.7, 24 July 1987 (USA),17000000.0,11%,16%,1511.0,5683122.0,15681020.0,15681020.0
Superman Returns,https://www.imdb.com/title/tt0348150/,https://www.rottentomatoes.com/m/superman_returns,https://www.boxofficemojo.com/movies/?id=superman06.htm,6.0, 28 June 2006 (USA),270000000.0,75%,61%,4065.0,52535096.0,200081192.0,391081192.0
Superman and the Mole Men,https://www.imdb.com/title/tt0506643/,https://www.rottentomatoes.com/m/superman_and_the_molemen,,7.9, 10 August 1953 (USA),,,,,,,
Swamp Thing,https://www.imdb.com/title/tt0084745/,https://www.rottentomatoes.com/m/swamp_thing,https://www.boxofficemojo.com/movies/?id=swampthing.htm,5.4, 19 February 1982 (USA),3000000.0,67%,34%,,,,
The Amazing Spider-Man,https://www.imdb.com/title/tt0948470/,https://www.rottentomatoes.com/m/the_amazing_spider_man,https://www.boxofficemojo.com/movies/?id=spiderman4.htm,6.9, 3 July 2012 (USA),230000000.0,72%,77%,4318.0,62004688.0,262030663.0,757930663.0
The Amazing Spider-Man 2,https://www.imdb.com/title/tt1872181/,https://www.rottentomatoes.com/m/the_amazing_spider_man_2,https://www.boxofficemojo.com/movies/?id=amazingspiderman2.htm,6.6, 2 May 2014 (USA),200000000.0,52%,64%,4324.0,91608337.0,202853933.0,708982323.0
The Avengers,https://www.imdb.com/title/tt0848228/,https://www.rottentomatoes.com/m/marvels_the_avengers,https://www.boxofficemojo.com/release/rl709199361/?ref_=bo_shs_sd,8.0, 4 May 2012 (USA),220000000.0,91%,91%,4349.0,207438708.0,623357910.0,1518812988.0
The Dark Knight,https://www.imdb.com/title/tt0468569/,https://www.rottentomatoes.com/m/the_dark_knight,https://www.boxofficemojo.com/release/rl3729098241/,9.0, 18 July 2008 (USA),185000000.0,94%,94%,4366.0,158411483.0,535234033.0,1004934033.0
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,https://www.rottentomatoes.com/m/the_dark_knight_rises,https://www.boxofficemojo.com/release/rl3745875457/?ref_=bo_at_a,8.4, 20 July 2012 (USA),250000000.0,87%,90%,4404.0,160887295.0,448139099.0,1081041287.0
The Fantastic Four,https://www.imdb.com/title/tt0109770/,https://www.rottentomatoes.com/m/10005582-fantastic_four,,3.8, 31 May 1994 (USA),1000000.0,33%,27%,,,,
The Incredible Hulk,https://www.imdb.com/title/tt0800080/,https://www.rottentomatoes.com/m/the_incredible_hulk,https://www.boxofficemojo.com/release/rl2791015937/,6.7, 13 June 2008 (USA),150000000.0,67%,70%,3508.0,55414050.0,134806913.0,263427551.0
The Punisher,https://www.imdb.com/title/tt0330793/,https://www.rottentomatoes.com/m/1131721_punisher,https://www.boxofficemojo.com/release/rl1768588801/,6.4, 16 April 2004 (USA),33000000.0,29%,63%,2649.0,14000000.0,33810189.0,54700105.0
The Return of Swamp Thing,https://www.imdb.com/title/tt0098193/,https://www.rottentomatoes.com/m/return_of_swamp_thing,https://www.boxofficemojo.com/movies/?id=swampthing2.htm,4.6, 12 May 1989 (USA),4000000.0,44%,28%,,,192816.0,192816.0
The Wolverine,https://www.imdb.com/title/tt1430132/,https://www.rottentomatoes.com/m/the_wolverine_2012,https://www.boxofficemojo.com/movies/?id=wolverine2.htm,6.7, 26 July 2013 (USA),120000000.0,71%,69%,3924.0,53113752.0,132556852.0,414828246.0
Thor,https://www.imdb.com/title/tt0800369/,https://www.rottentomatoes.com/m/thor,https://www.boxofficemojo.com/movies/?id=thor.htm,7.0, 6 May 2011 (USA),150000000.0,78%,76%,3963.0,65723338.0,181030624.0,449326618.0
Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,https://www.rottentomatoes.com/m/thor_ragnarok_2017/,https://www.boxofficemojo.com/release/rl2959312385/,7.9, 3 November 2017 (USA),180000000.0,93%,87%,4080.0,122744989.0,315058289.0,853977126.0
Thor: The Dark World,https://www.imdb.com/title/tt1981115/,https://www.rottentomatoes.com/m/thor_the_dark_world,https://www.boxofficemojo.com/release/rl3111421441/,6.9, 8 November 2013 (USA),170000000.0,67%,76%,3841.0,85737841.0,206362140.0,644783140.0
Venom,https://www.imdb.com/title/tt1270797/,https://www.rottentomatoes.com/m/venom_2018,https://www.boxofficemojo.com/movies/?id=venom2018.htm,6.7, 5 October 2018 (USA),100000000.0,29%,80%,4250.0,80255756.0,213515506.0,856085151.0
Watchmen,https://www.imdb.com/title/tt0409459/,https://www.rottentomatoes.com/m/watchmen,https://www.boxofficemojo.com/movies/?id=watchmen.htm,7.6, 6 March 2009 (USA),130000000.0,64%,71%,3611.0,55214334.0,107509799.0,185258983.0
Wonder Woman,https://www.imdb.com/title/tt0451279/,https://www.rottentomatoes.com/m/wonder_woman_2017,https://www.boxofficemojo.com/release/rl578455041/,7.4, 2 June 2017 (USA),149000000.0,93%,88%,4165.0,103251471.0,412563408.0,821847012.0
X-Men,https://www.imdb.com/title/tt0120903/,https://www.rottentomatoes.com/m/xmen,https://www.boxofficemojo.com/movies/?id=xmen.htm,7.4, 14 July 2000 (USA),75000000.0,81%,83%,3112.0,54471475.0,157299718.0,296339528.0
X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/,https://www.rottentomatoes.com/m/wolverine,https://www.boxofficemojo.com/movies/?id=wolverine.htm,6.6, 1 May 2009 (USA),150000000.0,37%,58%,4102.0,85058003.0,179883157.0,373062864.0
X-Men: Apocalypse,https://www.imdb.com/title/tt3385516/,https://www.rottentomatoes.com/m/x_men_apocalypse,https://www.boxofficemojo.com/movies/?id=x-men2016.htm,6.9, 27 May 2016 (USA),178000000.0,47%,65%,4153.0,65769562.0,155442489.0,543934105.0
X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/,https://www.rottentomatoes.com/m/x_men_days_of_future_past,https://www.boxofficemojo.com/release/rl1400538625/,8.0, 23 May 2014 (USA),200000000.0,90%,91%,4001.0,90823660.0,233921534.0,746045700.0
X-Men: First Class,https://www.imdb.com/title/tt1270798/,https://www.rottentomatoes.com/m/x_men_first_class,https://www.boxofficemojo.com/release/rl1434093057/,7.7, 3 June 2011 (USA),160000000.0,86%,87%,3692.0,55101604.0,146408305.0,352616690.0
X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/,https://www.rottentomatoes.com/m/x_men_3_the_last_stand,https://www.boxofficemojo.com/release/rl1484424705/,6.7, 26 May 2006 (USA),210000000.0,57%,61%,3714.0,102750665.0,234362462.0,459256008.0
X2,https://www.imdb.com/title/tt0290334/,https://www.rottentomatoes.com/m/x2_xmen_united,https://www.boxofficemojo.com/movies/?id=x2.htm,7.4, 2 May 2003 (USA),110000000.0,85%,85%,3749.0,85558731.0,214949694.0,407711549.0
